order,group
Ephemeroptera,Dragonflies, Mayflies, Damselflies, and Caddisflies - EOT Orders
Odonata,Dragonflies, Mayflies, Damselflies, and Caddisflies - EOT Orders
Trichoptera,Dragonflies, Mayflies, Damselflies, and Caddisflies - EOT Orders
Coleoptera,Beetles - Order Coleoptera
Diptera,Flies and Midges - Order Diptera
Hemiptera,True Bugs - Order Hemiptera
Amphipoda,Crustaceans - Subphylum Crustacea
Decapoda,Crustaceans - Subphylum Crustacea
Isopoda,Crustaceans - Subphylum Crustacea
Diplostraca,Crustaceans - Subphylum Crustacea
Calanoida,Crustaceans - Subphylum Crustacea
Anostraca,Crustaceans - Subphylum Crustacea
Hirudinida,Leeches - Order Hirudinida
Sphaeriida,Other Non-Insect Invertebrates
Lepidoptera,Other Aquatic Insects
Megaloptera,Other Aquatic Insects
Neuroptera,Other Aquatic Insects
Littorinida,Snails - Class Gastropoda
Viviparida,Snails - Class Gastropoda
Ectobranchia,Other Non-Insect Invertebrates
Poduromorpha,Other Non-Insect Invertebrates
Lymnaeida,Snails - Class Gastropoda
